primary_type,day-of-week,community_area
ASSAULT,Fri,69
ASSAULT,Fri,70
ASSAULT,Fri,71
ASSAULT,Fri,71
ASSAULT,Fri,71
ASSAULT,Fri,73
ASSAULT,Fri,73
ASSAULT,Fri,76
ASSAULT,Fri,51
ASSAULT,Fri,67
ASSAULT,Fri,71
ASSAULT,Fri,8
ASSAULT,Fri,11
ASSAULT,Fri,25
ASSAULT,Fri,28
ASSAULT,Fri,57
ASSAULT,Fri,60
ASSAULT,Fri,67
ASSAULT,Fri,69
ASSAULT,Fri,8
ASSAULT,Fri,28
ASSAULT,Fri,44
ASSAULT,Fri,61
ASSAULT,Fri,63
ASSAULT,Fri,2
ASSAULT,Fri,7
ASSAULT,Fri,16
ASSAULT,Fri,16
ASSAULT,Fri,17
ASSAULT,Fri,20
ASSAULT,Fri,24
ASSAULT,Fri,24
ASSAULT,Fri,25
ASSAULT,Fri,25
ASSAULT,Fri,25
ASSAULT,Fri,29
ASSAULT,Fri,32
ASSAULT,Fri,32
ASSAULT,Fri,32
ASSAULT,Fri,38
ASSAULT,Fri,45
ASSAULT,Fri,46
ASSAULT,Fri,55
ASSAULT,Fri,57
ASSAULT,Fri,58
ASSAULT,Fri,65
ASSAULT,Fri,66
ASSAULT,Fri,66
ASSAULT,Fri,66
ASSAULT,Fri,68
ASSAULT,Fri,71
ASSAULT,Fri,75
ASSAULT,Fri,76
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,1
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,2
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
ASSAULT,Fri,3
